学号,姓名,性别,年龄,身高,籍贯,入学时间,联系电话
1,王1,女,25,,,在2020-9-1 10:00:00入学的,15200011291
2,赵1,男,31,177.6,上海,在2021-9-2 10:00:00入学的,15200011292WWW
3,孙1,女,24,155.5,上海,在2020-10-1 10:00:00入学的,AAAA15200011293
4,李3,女,29,180,,在2022-9-2 10:00:00入学的,web15200011294xxsa手动
5,赵2,女,,158.1,成都,在2021-9-2 10:00:02入学的,15200011296
6,李5,男,20,190,,在2021-9-2 10:00:03入学的,15200011297
7,孙5,女,24,,,在2021-9-2 10:00:04入学的,15500011298
8,王2,男,42,176,广州,在2018-9-5 10:00:05入学的,客服：010-82776666
9,孙3,女,24,151,成都,在2021-9-2 10:00:06入学的,82776667
10,孙4,男,23,189,,在2021-9-2 10:00:07入学的,15200011301
11,赵5,女,31,177.6,,在2021-9-2 10:00:08入学的,15200011302
12,李2,男,37,171,成都,在2021-9-2 10:00:09入学的,15200011303
13,王5,男,51,,上海,在2000-9-2 10:00:12入学的,请联系：17100011306，亲戚号码
14,赵3,女,35,169.8,深圳,在2021-9-2 10:00:13入学的,15200011307
15,赵4,女,31,172.9,西安,在2021/9/2 10:00:14入学的,15200011308
16,孙2,男,56,170,太原,在2021/9/2 10:00:15入学的,18500011309，本人号码
17,孙4,男,42,151,西安,2023/7/29 20:03,15200011305
18,孙5,男,24,189,太原,2022/7/29 20:03,请联系：17100011306，亲戚号码
19,孙6,男,23,177.6,上海,00:13.0,15200011307
20,孙7,女,16,171,深圳,04:05.0,15200011308
